"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"1260",1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,"1200-146"
"1261",11,0,11,3,0,11,9,1,1,0,0,5,48,48,28,20,0,0,10,18,28,25,3,11,4,43,17,26,1,5,28,9,"1100-116"
"1262",11,3,8,5,2,9,11,0,0,0,0,10,28,28,13,15,1,1,3,9,13,8,5,7,4,31,16,15,4,5,20,2,"1200-459"
"1263",14,1,13,7,1,13,12,2,0,0,0,4,96,96,67,29,3,2,14,51,67,50,17,35,12,132,67,65,17,6,71,38,"1200-236"
"1264",22,22,0,22,22,0,0,22,0,0,0,2,22,22,19,3,4,5,16,2,19,11,8,15,6,52,27,25,5,4,26,17,"1400-081"
"1265",34,3,31,23,1,33,26,4,3,1,0,17,233,233,150,83,28,41,77,65,150,105,45,79,32,315,155,160,37,22,194,62,"1169-024"
"1266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1200-459"
"1267",13,1,12,8,1,12,13,0,0,0,0,3,56,56,39,17,4,2,3,35,39,23,16,12,6,99,72,27,6,10,77,6,"1150-169"
"1268",20,5,15,13,5,15,18,2,0,0,0,1,94,94,65,29,2,5,23,40,65,54,11,33,10,120,50,70,11,7,61,41,"1200-296"
"1269",4,1,3,4,1,3,0,4,0,0,0,2,15,15,12,3,1,3,1,10,12,7,5,9,7,28,14,14,8,1,15,4,"1200-666"
"1270",41,0,41,33,0,41,0,41,0,0,0,17,499,499,369,130,16,8,107,229,369,258,111,218,105,798,362,436,109,82,440,167,"1000-009"
"1271",10,4,6,5,7,3,10,0,0,0,0,6,25,25,18,7,0,0,7,9,18,14,4,10,3,39,16,23,4,4,20,11,"1269-127"
"1272",43,0,43,39,0,43,0,42,1,0,0,14,376,376,316,60,11,7,110,180,316,243,73,169,81,598,269,329,60,58,305,175,"1500-345"
"1273",38,10,28,34,9,29,1,36,0,1,0,0,288,288,216,72,12,18,91,104,216,166,50,103,43,407,174,233,44,22,214,127,"1500-334"
"1274",19,0,19,17,0,19,0,17,2,0,0,4,308,308,218,90,38,15,130,66,218,177,41,95,32,403,179,224,35,27,215,126,"1500-540"
"1275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1700-421"
"1276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1277",14,1,13,7,1,13,14,0,0,0,0,8,58,58,44,14,4,0,8,33,44,35,9,15,5,78,42,36,7,3,54,14,"1200-656"
"1278",20,9,11,16,3,17,16,1,3,0,0,8,60,60,36,24,6,6,11,23,36,28,8,18,7,73,34,39,10,7,39,17,"1200"
"1279",39,19,20,37,19,20,12,19,7,1,0,26,285,285,246,39,73,64,108,126,246,173,73,149,67,526,231,295,62,44,266,154,"1300-021"
"1280",2,0,2,1,0,2,0,2,0,0,0,0,7,7,1,6,0,0,1,0,1,0,1,1,1,4,3,1,2,0,2,0,"1200-719"
"1281",14,10,4,14,0,14,0,0,14,0,0,7,61,61,47,14,10,18,35,5,47,24,23,33,24,123,56,67,23,25,56,19,"1400-188"
"1282",3,0,3,2,0,3,0,0,1,2,0,0,50,50,41,9,19,39,30,8,41,23,18,26,16,100,40,60,15,13,52,20,"1400-041"
"1283",16,2,14,16,1,15,8,7,0,0,1,4,91,91,70,21,15,13,22,42,70,44,26,46,22,181,80,101,27,29,88,37,"1200-758"
"1284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1285",21,16,5,19,4,17,17,4,0,0,0,16,40,40,32,8,5,14,19,10,32,21,11,19,8,73,38,35,12,7,34,20,"1249-021"
"1286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-063"
"1287",11,3,7,11,1,10,7,2,0,1,1,3,46,45,31,14,9,11,13,13,32,18,14,20,10,79,41,38,14,5,45,15,"1200-840"
"1288",15,2,13,10,3,12,2,10,0,0,3,1,130,130,55,75,10,10,14,38,55,44,11,23,10,105,62,43,9,9,77,10,"1200-649"
"1289",15,2,13,12,2,13,15,0,0,0,0,12,69,69,37,32,1,0,4,31,37,31,6,16,5,64,31,33,4,6,35,19,"1200"
"1290",4,1,3,3,1,3,0,3,0,0,1,2,9,9,1,8,0,0,0,1,1,0,1,1,1,3,1,2,0,1,1,1,"1200-070"
"1291",28,3,25,16,2,26,26,0,0,0,2,15,115,115,67,48,3,9,32,31,67,38,29,46,30,166,71,95,22,29,97,18,"1200-718"
"1292",26,1,25,10,0,26,15,11,0,0,0,4,137,137,86,51,8,1,31,47,86,50,36,50,25,227,129,98,37,24,136,30,"1200-429"
"1293",19,3,16,16,1,18,19,0,0,0,0,12,76,76,38,38,2,0,8,26,38,28,10,21,7,79,38,41,7,1,51,20,"1200"
"1294",36,1,35,30,1,35,33,2,0,0,1,24,142,142,85,57,4,1,26,53,85,68,17,40,16,164,71,93,19,13,89,43,"1200-660"
"1295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1296",10,4,6,8,1,9,7,0,3,0,0,2,32,32,19,13,1,4,7,10,19,14,5,11,6,43,26,17,4,5,28,6,"1200-005"
"1297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1149-027"
"1298",11,0,11,9,0,11,0,0,11,0,0,0,82,82,71,11,23,70,55,11,71,47,24,48,26,160,81,79,19,22,78,41,"1400-188"
"1299",11,0,11,9,0,11,0,10,1,0,0,0,160,160,129,31,55,1,73,44,129,87,42,77,36,291,147,144,40,28,135,88,"1400-203"
"1300",12,0,12,9,0,12,0,0,2,10,0,4,122,122,104,18,48,100,76,21,104,56,48,71,47,262,112,150,58,31,135,38,"1400-185"
"1301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"1302",15,3,12,13,1,14,0,15,0,0,0,7,94,94,69,25,11,15,32,33,69,50,19,35,14,139,63,76,17,9,77,36,"1200-758"
"1303",9,0,9,7,0,9,0,9,0,0,0,7,121,121,86,35,5,20,35,48,86,73,13,37,14,150,67,83,16,7,87,40,"1500-328"
"1304",1,0,1,1,0,1,1,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-341"
"1305",12,1,11,7,0,12,9,2,0,1,0,3,68,68,45,23,3,2,15,25,45,36,9,17,7,80,39,41,7,6,55,12,"1250-127"
"1306",69,30,39,57,21,48,62,3,3,0,1,50,271,271,147,124,46,33,63,69,147,114,33,71,24,278,153,125,28,17,169,64,"1200-433"
"1307",42,4,38,28,4,38,40,0,1,0,1,17,224,224,152,71,3,4,11,133,153,122,31,60,25,291,145,146,30,33,190,38,"1150-051"
"1308",24,7,17,17,6,18,24,0,0,0,0,5,92,92,41,51,1,0,11,25,41,27,14,22,9,95,50,45,5,10,56,24,"1100-335"
"1309",16,16,0,16,8,8,1,13,2,0,0,1,16,16,14,2,6,11,13,1,14,7,7,12,4,36,17,19,5,4,16,11,"1400-406"
"1310",8,0,8,5,0,8,1,7,0,0,0,4,56,56,42,14,0,0,12,26,42,34,8,17,7,71,29,42,4,6,32,29,"1200-258"
"1311",23,3,20,14,3,20,20,1,0,2,0,13,142,142,90,52,3,1,25,61,90,72,18,36,11,170,88,82,16,10,113,31,"1250-154"
"1312",8,4,4,6,3,5,1,5,0,0,2,3,44,44,29,15,3,0,8,20,29,27,2,6,2,42,20,22,1,2,28,11,"1250-156"
"1313",21,0,20,17,0,21,7,10,4,0,0,3,208,207,139,68,36,32,58,73,139,105,34,67,28,278,118,160,28,18,163,69,"1170-376"
"1314",16,7,9,14,4,12,5,5,2,4,0,2,82,82,62,20,25,20,28,30,62,35,27,43,23,170,78,92,29,25,74,42,"1250-017"
"1315",13,3,10,10,1,12,5,8,0,0,0,0,52,52,32,20,1,1,12,18,32,23,9,14,6,61,38,23,8,3,38,12,"1200-192"
"1316",43,24,18,35,33,10,41,2,0,0,0,12,127,126,95,31,21,4,14,72,95,72,23,46,19,181,85,96,20,20,104,37,"1100-474"
"1317",6,0,6,6,0,6,1,5,0,0,0,0,78,78,57,21,5,1,12,42,57,46,11,24,6,100,38,62,5,4,57,34,"1150-191"
"1318",17,0,17,15,0,17,5,12,0,0,0,3,128,128,107,21,4,1,63,38,107,64,43,56,29,263,146,117,30,24,178,31,"1170-234"
"1319",23,16,5,23,17,6,0,21,2,0,0,18,78,76,61,15,11,1,2,56,61,52,9,23,8,150,58,92,7,20,60,63,"1170-009"
"1320",65,24,40,59,25,40,43,22,0,0,0,4,343,342,241,101,22,6,106,121,242,179,63,118,42,480,231,249,34,50,304,92,"1150-101"
"1321",6,2,4,3,0,6,3,1,0,0,2,2,33,33,20,13,7,1,8,10,20,16,4,7,3,32,15,17,3,1,20,8,"1050-096"
"1322",18,2,15,11,0,18,9,9,0,0,0,3,121,120,91,29,10,4,37,47,93,58,35,57,28,216,101,115,28,31,128,29,"1150-213"
"1323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1099-069"
"1324",23,1,22,19,0,23,14,7,2,0,0,8,159,159,110,49,7,7,61,41,110,89,21,53,25,214,105,109,28,18,128,40,"1150-106"
"1325",29,26,3,29,25,4,0,26,0,3,0,16,50,50,45,5,21,34,39,3,45,24,21,30,17,115,52,63,14,18,59,24,"1070"
"1326",27,2,24,24,5,22,14,13,0,0,0,9,152,151,95,56,7,7,42,48,95,69,26,48,18,219,102,117,27,14,128,50,"1150-040"
"1327",50,11,39,49,13,37,20,19,11,0,0,16,340,340,267,73,69,4,97,162,267,169,98,180,87,622,292,330,92,59,345,126,"1900-028"
"1328",20,18,2,20,6,14,17,0,1,2,0,6,26,26,23,3,2,0,20,1,23,10,13,18,13,67,33,34,13,10,35,9,"1000-300"
"1329",13,0,12,13,0,13,0,13,0,0,0,13,391,390,361,29,208,5,51,293,361,214,147,278,124,955,402,553,156,100,435,264,"1950-157"
"1330",15,15,0,15,12,3,0,12,3,0,0,3,15,15,13,2,2,10,12,1,13,8,5,10,4,37,17,20,7,5,17,8,"1500-618"
"1331",35,2,33,32,1,34,5,26,1,1,2,31,313,313,252,61,16,11,104,128,252,201,51,107,41,463,201,262,36,37,282,108,"1500-098"
"1332",20,5,15,15,6,14,2,7,6,3,2,2,352,352,275,77,134,264,181,67,275,189,86,173,76,603,290,313,74,71,314,144,"1600-134"
"1333",21,2,18,17,2,19,2,18,1,0,0,13,185,184,142,42,5,13,76,57,143,87,56,92,49,345,162,183,61,37,179,68,"1000-151"
"1334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600-100"
"1335",28,7,21,27,28,0,4,24,0,0,0,6,91,91,81,10,11,6,41,34,81,59,22,51,16,168,78,90,13,13,77,65,"1950-234"
"1336",18,1,17,14,0,18,1,17,0,0,0,5,192,192,139,53,26,37,67,56,139,103,36,71,36,282,130,152,29,36,159,58,"1600-205"
"1337",30,1,29,30,1,29,0,28,1,0,1,0,314,314,264,50,39,13,110,127,264,222,42,136,40,478,186,292,36,25,247,170,"1500-464"
"1338",20,16,3,18,16,4,0,18,1,0,1,0,135,135,113,22,67,108,84,13,113,72,41,82,33,284,131,153,56,20,130,78,"1600-134"
"1339",2,0,2,2,0,2,0,0,2,0,0,1,23,23,19,4,7,1,1,18,19,9,10,13,6,54,27,27,10,9,26,9,"1600-198"
"1340",26,0,26,25,0,26,0,0,26,0,0,0,429,429,321,108,177,8,139,174,321,168,153,272,137,867,383,484,103,119,500,145,"1950"
"1341",23,11,12,20,8,15,0,23,0,0,0,1,139,139,113,26,18,8,60,46,113,71,42,61,32,262,115,147,42,19,141,60,"1700-217"
"1342",41,0,41,34,0,41,4,37,0,0,0,19,280,280,204,76,26,5,76,114,204,144,60,106,61,433,181,252,53,57,230,93,"1700-203"
"1343",32,32,0,32,30,2,0,26,3,2,1,6,32,32,24,8,6,19,24,0,24,11,13,19,10,69,38,31,10,10,34,15,"1500-618"
"1344",36,15,21,34,18,18,13,23,0,0,0,22,172,172,129,43,28,31,43,77,129,99,30,76,24,261,128,133,22,19,138,82,"1950-087"
"1345",14,0,14,13,0,14,0,14,0,0,0,1,122,122,90,32,8,1,49,32,90,65,25,46,25,179,81,98,32,10,96,41,"1000-280"
"1346",17,15,2,16,13,4,0,15,0,2,0,1,97,97,76,21,66,71,66,5,76,38,38,65,39,205,99,106,30,32,120,23,"1500-242"
"1347",36,9,27,35,8,28,4,31,0,0,1,4,228,228,155,73,6,2,64,82,155,129,26,77,30,284,125,159,27,19,147,91,"1500-133"
"1348",14,0,14,10,0,14,0,14,0,0,0,4,120,120,99,21,3,2,47,37,99,66,33,60,34,216,98,118,31,26,127,32,"1000-195"
"1349",10,0,10,7,0,10,0,10,0,0,0,0,233,233,180,53,37,11,132,29,180,143,37,89,36,331,138,193,37,14,162,118,"1500-271"
"1350",12,0,12,8,0,12,0,11,1,0,0,1,227,227,181,46,64,75,98,76,181,119,62,104,48,392,162,230,44,43,189,116,"1749-086"
"1351",13,0,13,11,2,11,0,13,0,0,0,7,345,345,295,50,166,2,36,252,295,172,123,237,100,789,374,415,106,89,378,216,"1950-157"
"1352",25,1,24,22,0,25,0,24,1,0,0,13,240,240,216,24,42,6,145,57,216,124,92,137,69,518,249,269,55,62,278,123,"1800-129"
"1353",10,0,10,8,0,10,0,10,0,0,0,6,190,190,171,19,8,3,121,37,171,117,54,102,44,359,172,187,37,34,183,105,"1800-328"
"1354",9,0,9,8,0,9,0,9,0,0,0,4,102,102,81,21,17,2,55,16,81,51,30,49,25,177,80,97,21,22,86,48,"1800"
"1355",1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,"2680"
"1356",12,6,6,11,6,6,12,0,0,0,0,5,36,36,28,8,2,0,2,24,28,21,7,14,6,55,31,24,4,10,34,7,"1200-293"
"1357",15,6,9,14,4,11,15,0,0,0,0,11,50,50,41,9,3,1,13,25,41,27,14,22,11,103,64,39,13,8,69,13,"1100-256"
"1358",64,64,0,64,64,0,2,55,3,3,1,15,64,64,55,9,9,6,32,20,55,31,24,39,22,140,64,76,27,15,64,34,"1400-081"
"1359",10,3,7,4,1,9,9,0,0,1,0,0,28,28,25,3,1,4,7,18,25,17,8,14,9,56,29,27,11,5,28,12,"1200-293"
"1360",5,1,4,2,0,5,5,0,0,0,0,1,13,13,6,7,0,0,4,2,6,6,0,2,1,8,1,7,1,0,4,3,"1200-249"
"1361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1200-470"
"1362",10,7,3,9,7,3,8,2,0,0,0,7,17,17,13,4,1,1,2,9,13,7,6,10,6,56,40,16,6,6,36,8,"1100-471"
"1363",9,4,5,9,2,7,5,2,0,2,0,5,40,40,28,12,6,2,8,18,28,19,9,13,7,55,19,36,9,3,34,9,"1250-020"
"1364",14,0,14,8,0,14,0,14,0,0,0,0,235,235,184,51,15,1,69,103,184,128,56,114,51,397,191,206,56,35,192,114,"1750-200"
"1365",31,19,12,30,21,10,8,13,10,0,0,12,88,88,79,9,53,64,67,12,79,41,38,63,39,208,102,106,35,28,106,39,"1750-200"
"1366",9,9,0,9,2,7,1,0,8,0,0,0,9,9,9,0,1,8,9,0,9,2,7,8,5,31,13,18,6,5,16,4,"1750-123"
"1367",19,17,2,19,19,0,17,1,1,0,0,11,31,31,20,11,1,0,4,14,20,13,7,16,8,50,21,29,8,4,26,12,"1750-025"
"1368",23,0,22,17,0,23,16,4,1,1,1,11,199,198,131,67,20,30,75,45,132,80,52,80,41,307,134,173,50,31,165,61,"1050-097"
"1369",27,23,4,27,18,9,27,0,0,0,0,2,41,41,31,10,7,1,24,5,31,21,10,23,11,73,32,41,11,10,30,22,"1000-197"
"1370",23,21,2,23,17,6,23,0,0,0,0,0,33,33,22,11,5,1,18,2,22,12,10,17,11,62,29,33,18,5,29,10,"1000-159"
"1371",3,0,3,1,0,3,0,0,3,0,0,0,206,206,164,42,146,158,123,24,164,131,33,81,28,309,134,175,30,21,158,100,"1900-386"
"1372",15,1,13,11,1,14,3,12,0,0,0,3,102,101,77,24,14,7,38,26,77,64,13,27,13,142,65,77,17,13,77,35,"1070-064"
"1373",21,1,19,19,0,21,19,2,0,0,0,8,140,139,104,35,6,1,39,56,104,79,25,51,20,248,108,140,14,19,128,87,"1900-179"
"1374",12,0,12,11,0,12,11,1,0,0,0,1,88,88,63,25,5,0,25,32,63,51,12,33,9,118,57,61,8,7,60,43,"1900-179"
"1375",4,0,4,1,0,4,4,0,0,0,0,3,17,17,6,11,0,0,0,6,6,5,1,2,1,10,6,4,1,1,5,3,"1200-290"
"1376",4,4,0,4,4,0,0,4,0,0,0,1,5,5,3,2,0,0,0,1,3,3,0,1,0,4,2,2,0,0,1,3,"1600-251"
"1377",12,2,10,12,0,12,0,12,0,0,0,0,63,63,51,12,0,0,40,7,51,38,13,26,15,99,42,57,16,4,44,35,"1700-331"
"1378",1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,"1849-001"
"1379",14,0,14,14,0,14,0,6,8,0,0,7,127,127,109,18,4,4,96,6,109,68,41,74,27,253,108,145,26,21,114,92,"1800-245"
"1380",7,0,7,7,0,7,0,7,0,0,0,7,224,224,183,41,129,13,136,23,183,128,55,116,45,381,161,220,39,29,182,131,"1500-023"
"1381",30,0,30,28,0,30,10,17,2,1,0,13,198,198,144,54,18,10,57,69,144,109,35,80,34,281,124,157,26,28,165,62,"1900-104"
"1382",24,3,20,14,5,19,13,11,0,0,0,4,141,140,105,35,16,3,37,54,105,85,20,48,14,206,100,106,9,23,119,55,"1150-115"
"1383",6,0,6,4,0,6,3,2,0,0,1,1,43,43,27,16,2,1,15,8,27,17,10,17,8,61,25,36,8,10,31,12,"1050-091"
"1384",33,33,0,33,33,0,0,26,2,4,1,5,33,33,28,5,6,25,27,0,28,18,10,17,7,62,33,29,9,6,27,20,"1070-079"
"1385",35,20,15,34,20,15,0,23,12,0,0,0,240,240,215,25,108,151,170,35,215,138,77,153,69,497,232,265,35,77,247,138,"1170-105"
"1386",4,0,3,4,1,3,2,2,0,0,0,0,22,21,11,10,2,0,7,3,11,4,7,12,5,45,18,27,10,4,23,8,"1070-012"
"1387",16,3,13,14,3,13,10,5,1,0,0,5,78,78,52,26,1,2,23,27,52,35,17,22,13,107,47,60,13,10,60,24,"1070-280"
"1388",40,3,36,38,0,40,16,24,0,0,0,9,237,236,187,49,10,0,76,99,187,138,49,97,47,385,163,222,46,23,205,111,"1900-104"
"1389",18,3,15,16,2,16,3,11,2,2,0,6,126,126,81,45,4,4,27,44,81,59,22,35,19,155,67,88,15,20,91,29,"1070-036"
"1390",20,0,20,17,0,20,5,12,0,1,2,1,243,243,172,71,32,34,86,69,172,135,37,83,36,332,154,178,42,14,192,84,"1150-192"
"1391",38,30,8,38,30,8,0,37,1,0,0,7,137,137,95,42,14,42,64,19,95,75,20,47,17,180,77,103,14,19,83,64,"1070-079"
"1392",38,36,2,38,37,1,38,0,0,0,0,37,43,43,20,23,4,0,10,10,20,12,8,16,8,50,25,25,9,4,27,10,"1900-439"
"1393",23,0,23,23,1,22,19,4,0,0,0,5,156,156,107,49,2,0,41,60,107,79,28,48,25,212,106,106,32,20,124,36,"1170-230"
"1394",13,3,10,11,0,13,2,8,1,2,0,1,100,100,75,25,17,6,36,34,75,46,29,52,30,186,82,104,31,27,88,40,"1070-051"
"1395",14,2,12,12,1,13,9,5,0,0,0,5,113,113,89,24,0,0,39,42,89,73,16,41,15,156,66,90,10,12,88,46,"1170-163"
"1396",4,1,3,2,0,4,2,0,0,1,1,1,15,15,6,9,0,1,6,0,6,4,2,2,2,10,5,5,1,1,7,1,"1100"
"1397",20,10,9,19,1,19,0,0,20,0,0,13,139,138,115,23,53,53,84,18,115,84,31,79,32,257,122,135,27,25,131,74,"1400-185"
"1398",8,3,5,6,0,8,8,0,0,0,0,6,27,27,15,12,1,0,8,7,15,13,2,9,3,30,17,13,4,3,19,4,"1100-068"
"1399",4,0,4,3,1,3,3,1,0,0,0,1,18,18,11,7,0,0,2,7,11,9,2,4,2,22,10,12,2,6,10,4,"1200-263"
"1400",27,6,21,25,1,26,23,2,0,0,2,6,116,116,67,49,9,10,28,28,67,50,17,31,14,137,64,73,12,20,80,25,"1200-702"
"1401",21,3,18,19,0,21,21,0,0,0,0,12,82,82,57,25,3,0,16,37,57,48,9,23,9,98,48,50,7,9,59,23,"1200"
"1402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-063"
"1403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-053"
"1404",36,3,33,35,3,33,15,19,2,0,0,9,217,217,171,46,17,18,75,81,171,123,48,100,42,355,159,196,61,15,185,94,"1250-246"
"1405",21,2,19,16,0,21,18,1,0,1,1,11,98,98,75,23,9,4,25,43,75,59,16,39,13,142,62,80,15,6,80,41,"1250-127"
"1406",13,4,6,8,4,9,12,0,0,1,0,2,53,50,30,20,1,0,11,17,31,21,10,17,5,94,58,36,5,5,68,16,"1100-335"
"1407",25,5,20,17,1,24,20,0,2,0,3,15,135,135,98,37,15,19,31,62,98,83,15,42,15,175,91,84,16,13,101,45,"1249-082"
"1408",23,1,22,20,2,21,2,16,1,2,2,6,166,166,125,41,6,36,67,48,125,91,34,70,38,248,108,140,28,23,145,52,"1350-149"
"1409",24,3,21,18,3,21,23,0,0,1,0,3,131,131,70,61,3,1,27,41,70,55,15,34,18,136,65,71,18,12,72,34,"1250-124"
"1410",17,0,17,14,0,17,6,8,3,0,0,0,196,196,156,40,45,73,89,53,156,115,41,82,35,319,138,181,31,25,185,78,"1150-045"
"1411",10,0,9,4,0,10,4,5,1,0,0,0,91,91,61,30,18,5,12,44,61,42,19,32,19,134,61,73,19,22,61,32,"1050-016"
"1412",18,13,5,18,12,6,1,10,0,3,4,12,62,62,42,20,3,1,25,11,42,33,9,20,4,76,40,36,3,4,48,21,"1070"
"1413",59,1,56,57,2,57,47,11,1,0,0,13,480,478,351,127,21,7,163,170,352,255,97,203,89,739,345,394,77,71,417,174,NA
"1414",16,2,14,14,1,15,9,7,0,0,0,2,119,119,95,24,5,0,43,47,95,71,24,51,24,208,96,112,22,18,132,36,"1150-105"
"1415",54,21,33,46,21,33,26,22,3,3,0,7,237,237,191,46,23,26,70,110,191,132,59,109,53,389,168,221,47,38,218,86,"1070-137"
"1416",30,26,4,29,29,1,24,3,1,1,1,21,40,40,19,21,10,3,6,12,19,17,2,13,2,38,19,19,3,1,13,21,"1600-515"
"1417",24,0,24,22,0,24,0,24,0,0,0,0,208,208,163,45,14,1,124,28,163,110,53,95,45,356,171,185,41,24,212,79,"1800-071"
"1418",10,6,4,10,5,5,1,3,6,0,0,0,29,29,23,6,1,7,6,13,23,11,12,17,13,65,26,39,17,11,32,5,"2680"
"1419",11,11,0,11,11,0,0,2,2,7,0,4,31,31,3,8,0,0,3,0,23,17,6,14,11,57,28,29,15,7,29,6,"2680"
"1420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1990-514"
"1421",42,34,8,39,32,10,41,0,0,0,1,18,63,63,45,18,10,7,19,22,45,40,5,20,8,82,39,43,11,8,38,25,"1600-188"
"1422",11,1,10,9,0,11,0,9,2,0,0,0,241,241,179,60,96,108,135,30,181,128,53,104,44,386,171,215,48,38,153,147,"1750-144"
"1423",35,35,0,35,27,8,4,26,1,2,2,6,37,37,31,6,8,27,22,0,31,21,10,22,10,68,29,39,9,6,32,21,"1800-192"
"1424",48,48,0,48,48,0,0,0,48,0,0,15,48,48,45,3,21,2,23,6,45,23,22,38,16,124,71,53,13,19,57,35,"1900-240"
"1425",26,1,25,23,1,25,4,21,1,0,0,6,223,223,184,39,41,34,89,84,184,136,48,110,45,388,181,207,40,33,212,103,"1900-386"
"1426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1049-001"
"1427",31,2,29,23,2,29,1,19,6,5,0,13,246,246,179,67,43,23,104,58,179,109,70,116,64,418,191,227,63,48,227,80,"1050-070"
"1428",5,0,5,3,0,5,0,3,2,0,0,5,207,207,166,41,63,2,118,36,166,108,58,116,39,383,190,193,30,43,204,106,"1950-002"
"1429",15,0,15,14,0,15,0,6,7,2,0,5,201,201,170,30,64,126,126,29,171,126,45,108,45,348,154,194,30,41,170,107,"1500-112"
"1430",23,23,0,23,18,5,0,23,0,0,0,4,23,23,23,0,10,22,20,0,23,14,9,15,8,55,27,28,10,3,20,22,"1700-135"
"1431",32,8,24,24,9,23,26,5,0,0,1,16,160,160,105,55,9,8,36,63,105,81,24,51,21,216,100,116,22,17,135,42,"1169-050"
"1432",3,0,3,2,0,3,2,0,0,0,1,1,27,27,5,22,1,2,0,4,5,4,1,3,0,10,5,5,0,0,7,3,"1250-167"
"1433",35,35,0,35,35,0,0,35,0,0,0,23,36,36,19,17,6,0,9,8,19,12,7,14,4,47,25,22,8,3,27,9,"1070"
"1434",16,0,16,15,0,16,0,13,2,1,0,3,173,173,137,36,37,54,69,55,137,87,50,88,38,312,150,162,32,27,175,78,"1900-046"
"1435",22,2,20,19,2,20,12,5,2,0,3,4,234,234,162,72,31,25,58,86,162,121,41,86,34,335,172,163,28,46,195,66,"1150-137"
