"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"716",8,8,0,8,5,3,0,2,3,3,0,0,8,8,7,1,5,6,4,2,7,2,5,6,5,27,14,13,8,4,13,2,"1400-188"
"717",5,2,3,3,0,5,1,4,0,0,0,3,15,15,9,6,0,0,4,2,9,8,1,2,1,14,7,7,3,0,9,2,"1200-014"
"718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100-038"
"719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"720",45,21,24,44,5,40,16,4,2,20,3,19,182,182,119,63,24,32,53,53,119,79,40,79,33,276,130,146,37,22,156,61,"1350-179"
"721",49,22,27,45,19,30,43,5,1,0,0,14,143,143,105,38,16,23,35,65,105,68,37,54,36,240,110,130,44,24,134,38,"1200-701"
"722",7,0,7,7,0,7,0,7,0,0,0,0,97,97,74,23,19,1,55,12,74,51,23,43,23,155,62,93,25,16,68,46,"1400-191"
"723",34,26,8,33,15,19,0,0,34,0,0,10,103,103,88,15,1,57,57,23,88,52,36,62,36,212,101,111,31,25,129,27,"1400-185"
"724",36,9,27,35,9,27,29,2,1,1,3,10,147,147,102,45,10,12,33,64,102,83,19,51,20,189,75,114,19,13,117,40,"1249-093"
"725",24,24,0,24,24,0,10,14,0,0,0,24,24,24,22,2,10,16,16,3,22,13,9,18,8,54,26,28,5,10,29,10,"1070-181"
"726",25,4,21,21,1,24,8,15,1,0,1,11,150,150,108,42,3,0,38,52,108,81,27,48,15,208,106,102,15,23,118,52,"1000-243"
"727",9,9,0,9,9,0,6,2,1,0,0,0,9,9,7,2,1,5,7,0,7,5,2,6,2,15,7,8,0,2,4,9,"1070-181"
"728",22,13,9,20,18,4,20,0,0,0,2,15,70,70,39,31,1,1,15,23,39,26,13,28,16,91,40,51,21,7,46,17,"1950-042"
"729",34,34,0,34,24,10,0,34,0,0,0,2,34,34,31,3,11,14,24,3,31,18,13,25,11,77,33,44,12,3,42,20,"1900-330"
"730",10,0,9,9,0,10,6,4,0,0,0,6,65,64,42,22,2,0,14,25,42,29,13,24,8,150,102,48,13,17,97,23,"1170-193"
"731",20,7,12,19,6,14,15,4,0,0,1,1,91,90,67,23,3,16,36,26,67,42,25,41,20,162,72,90,25,22,88,27,"1050-229"
"732",11,0,11,11,0,11,1,9,1,0,0,1,60,60,32,28,2,0,6,25,32,22,10,13,6,70,36,34,8,3,49,10,"1900-213"
"733",20,2,18,17,2,18,1,18,1,0,0,10,147,147,117,30,8,24,60,39,117,77,40,68,38,261,119,142,42,25,126,68,"1700-159"
"734",25,25,0,25,25,0,0,23,2,0,0,7,25,25,18,7,3,4,15,0,18,11,7,13,8,46,19,27,4,8,23,11,"1500-242"
"735",16,15,1,16,8,8,8,1,2,5,0,2,19,19,18,1,5,16,16,2,18,7,11,14,7,53,23,30,4,13,23,13,"1601-801"
"736",7,0,7,6,0,7,0,7,0,0,0,4,140,140,116,24,49,0,66,45,116,81,35,79,34,257,121,136,33,21,100,103,"1500-599"
"737",5,0,4,2,0,5,0,5,0,0,0,5,107,107,92,15,16,1,66,13,92,66,26,53,22,192,85,107,23,16,86,67,"1500-599"
"738",29,0,29,24,0,29,0,29,0,0,0,0,500,500,388,112,46,63,228,122,388,300,88,195,80,733,313,420,81,55,347,250,"1500-080"
"739",2,0,2,2,0,2,0,2,0,0,0,2,38,38,27,11,7,25,19,3,27,18,9,16,6,61,23,38,4,12,25,20,"1600-205"
"740",7,2,5,6,0,7,2,0,4,1,0,2,31,31,24,7,18,24,21,3,24,17,7,17,4,52,24,28,3,3,23,23,"1300-245"
"741",16,10,6,16,12,4,13,2,0,0,1,2,57,57,46,11,3,1,21,22,46,37,9,23,6,82,38,44,3,5,47,27,"1300-125"
"742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1200-041"
"743",29,8,21,27,3,26,17,4,6,1,1,11,138,138,84,54,8,12,38,37,84,57,27,42,27,185,81,104,36,18,94,37,"1200-702"
"744",9,1,8,4,0,9,9,0,0,0,0,2,49,49,24,25,5,0,11,12,24,16,8,12,6,54,29,25,8,3,34,9,"1200-236"
"745",3,2,0,3,0,3,3,0,0,0,0,0,3,2,1,1,0,0,0,0,1,1,0,0,0,31,1,30,0,0,1,30,"1100-044"
"746",25,4,21,20,10,15,24,1,0,0,0,8,87,87,31,56,0,2,6,25,31,29,2,10,3,45,20,25,3,1,25,16,"1100-493"
"747",12,1,11,7,0,12,12,0,0,0,0,6,49,49,26,23,0,0,13,13,26,24,2,12,1,45,23,22,0,2,31,12,"1200-036"
"748",28,2,26,25,2,26,3,23,0,0,2,2,297,297,215,82,8,7,115,81,215,140,75,130,75,502,232,270,112,43,251,96,"1350-179"
"749",13,1,12,7,0,13,11,2,0,0,0,3,53,53,29,24,1,0,2,25,29,24,5,15,6,51,24,27,4,4,30,13,"1200-047"
"750",1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,307,207,100,151,100,651,364,287,113,71,445,22,"1350"
"751",16,6,10,9,10,6,16,0,0,0,0,14,45,45,27,18,0,0,2,25,27,23,4,14,4,48,24,24,4,7,27,10,"1100-538"
"752",26,3,23,24,3,23,20,5,1,0,0,7,151,151,97,54,3,0,43,48,97,76,21,47,17,178,77,101,11,11,93,63,"1300-001"
"753",50,4,46,41,4,46,13,35,1,1,0,22,437,437,343,94,20,5,130,195,343,277,66,159,63,628,263,365,63,49,323,193,"1300-096"
"754",35,3,32,32,4,31,15,19,0,0,1,11,262,262,202,60,23,0,54,135,202,153,49,120,43,408,181,227,47,28,214,119,"1300-017"
